"tree.rep" "index" "r" "epsilon" "lnLik.part" "tip"
2 93 0.202424725517631 0.535875119641424 -4.79546817637402 "y"
2 361 0.333054073597305 0.564506409154274 -4.19860375851399 "y"
2 82 0.240576497244183 0.550737388140988 -6.26009510764335 "y"
2 391 0.309120536502451 0.578544001746923 -6.30578837648814 "y"
1 361 0.302756037283689 0.62764208605513 -4.19860370782619 "y"
1 82 0.236696507409215 0.532375353202224 -6.26009509923668 "y"
1 391 0.31098047150299 0.615458051953465 -6.30578835559829 "y"
2 193 0.209824462315228 2.01254031724306e-05 -11.4376996261703 "n"
2 154 0.205280857025307 2.04115829533865e-06 -41.5027717207792 "n"
2 48 0.0649057493423071 0.93545665453964 -45.4762151592526 "n"
2 232 0.129488777042472 0.124403512507065 -542.859413774071 "n"
2 14 0.184787136784837 0.29283188489117 -144.81933908057 "n"
2 343 0.148213167465292 0.650704285630493 -66.8453423905148 "n"
2 56 0.0505057385595119 0.95387700166769 -420.041380725683 "n"
2 1 0.0771533523073238 0.314395040176303 -1264.50979399453 "n"
1 193 0.194138801335732 5.41759033607308e-08 -11.0956751083395 "n"
1 254 0.0735098671057969 0.956580071202098 -12.1855075399123 "n"
1 154 0.209015973447983 4.98855124821748e-07 -41.3833222206816 "n"
1 48 0.0655570538556275 0.93464135424083 -45.5380943093872 "n"
1 231 0.128951902856776 1.77898336205569e-06 -526.674372242425 "n"
1 14 0.176561362559732 0.345516092460457 -144.957213911994 "n"
1 343 0.174852145467239 0.233119750474952 -65.9549256916203 "n"
1 56 0.0541870894363629 0.946126302207776 -416.960976528311 "n"
1 1 0.0808617883854674 0.264983749927432 -1259.13103499863 "n"
