generation,N_shifts,logPrior,logLik,eventRate,acceptRate
39748000,7,-6.62208,6640.8,0.639939,0.0841667
39750000,7,-7.83805,6642.89,1.76445,0.089
39752000,7,-6.9752,6642.16,1.32227,0.0845
39754000,7,-9.35045,6641.82,1.65584,0.077
39756000,7,-7.68606,6640.71,0.790143,0.0815
39758000,7,-6.75905,6640.84,0.167158,0.076
39760000,7,-8.90166,6639.52,0.506134,0.0805
39762000,8,-6.91174,6694.67,1.21467,0.084875
39764000,8,-6.30618,6692.48,1.40853,0.0875
39766000,8,-7.52435,6688.84,0.0840358,0.0945
39768000,8,-6.82242,6691.49,0.894618,0.096
39770000,8,-4.45757,6689.61,0.32541,0.088
39772000,8,-8.81655,6692.05,1.77969,0.0835
39774000,8,-9.97159,6687.55,0.151063,0.089
39776000,7,-4.88635,6639.19,0.108171,0.0855
39778000,7,-7.66662,6638.69,0.869425,0.0825
39780000,8,-10.1916,6692.89,0.147628,0.0875
39782000,8,-5.20179,6694.39,2.12932,0.088
39784000,8,-5.3692,6691.26,0.21425,0.084
39786000,8,-8.46067,6695.07,1.1045,0.0845
39788000,8,-11.1692,6691.37,1.88401,0.081
39790000,8,-6.31841,6691.22,0.198865,0.0875
39792000,8,-2.57916,6694.71,0.43515,0.0915
39794000,8,-4.21118,6695.61,0.844205,0.09
39796000,8,-6.02935,6695.63,1.47568,0.0915
39798000,8,-5.02785,6694.72,1.28718,0.0935
39800000,8,-5.39095,6691,2.1709,0.0915
39802000,8,-2.85801,6691.9,0.143186,0.08
39804000,8,-4.73766,6699.27,0.303929,0.084
39806000,8,-8.08337,6695.27,0.687757,0.0855
39808000,8,-10.2915,6696.21,1.60025,0.094
39810000,7,-6.71149,6648.39,0.00581057,0.0841875
39812000,7,-9.05224,6647.13,2.28768,0.087
39814000,7,-7.21037,6643.13,0.580205,0.083
39816000,8,-7.10232,6690.8,0.73135,0.0865
39818000,7,-12.0916,6646.14,3.0199,0.0785
39820000,7,-14.8412,6646.91,3.21777,0.0755
39822000,7,-9.53531,6648.27,0.273848,0.0955
39824000,8,-6.08687,6693.48,0.908722,0.087
39826000,7,-9.39258,6644.11,0.731667,0.078
39828000,7,-5.69696,6649.73,0.0270964,0.0845
39830000,7,-11.613,6651.66,2.49613,0.0845
39832000,7,-7.10579,6649.15,0.0733402,0.0915
39834000,7,-10.0135,6645.74,2.03616,0.083
39836000,9,-11.2253,6700.4,1.8804,0.0846667
39838000,7,-8.06478,6649.33,1.99675,0.07775
39840000,7,-5.47918,6646.92,0.219721,0.081
39842000,7,-9.47321,6647.39,1.43963,0.0785
39844000,7,-6.79188,6648.79,0.526869,0.085
39846000,7,-9.66591,6645.63,0.344898,0.082
39848000,7,-9.57732,6647.88,0.0197872,0.095
39850000,7,-7.56771,6647.61,0.104467,0.0765
39852000,7,-5.72463,6648.21,0.288132,0.09
39854000,7,-7.97377,6644.43,1.26809,0.083
39856000,7,-8.01141,6644.14,1.00299,0.077
39858000,7,-8.89494,6643.6,1.00266,0.088
39860000,7,-9.50175,6642.66,2.03395,0.079
39862000,7,-10.1561,6646.19,1.69722,0.085
39864000,7,-6.27009,6645.53,0.305621,0.0815
39866000,7,-7.40778,6646.62,1.32714,0.0835
39868000,8,-7.08079,6646.06,0.984085,0.0805
39870000,7,-4.56845,6642.84,0.415823,0.076
39872000,7,-4.76799,6646.95,0.917804,0.0815
39874000,7,-3.88509,6644.37,0.863801,0.084
39876000,8,-4.83803,6705.46,0.758909,0.08685
39878000,8,-4.44575,6701.13,0.119134,0.0905
39880000,8,-7.09776,6699.04,0.701143,0.092
39882000,8,-6.50264,6703.31,2.69799,0.0845
39884000,8,-7.936,6700.99,0.124297,0.0855
39886000,8,-7.62251,6703.04,1.00198,0.0905
39888000,8,-9.37984,6706.24,4.88188,0.085
39890000,8,-6.2099,6697.45,0.392473,0.077
39892000,7,-7.13691,6643.92,0.254144,0.0862222
39894000,7,-9.22141,6641.34,0.529858,0.097
39896000,7,-11.3594,6642.17,0.862107,0.0855
39898000,7,-10.6929,6640.39,4.08663,0.0905
39900000,8,-11.1947,6696.72,1.63211,0.0886
39902000,8,-13.4867,6693.32,4.43585,0.0915
39904000,8,-7.18633,6690.65,2.24078,0.0785
39906000,8,-7.27511,6695.35,0.415428,0.0825
39908000,8,-4.86576,6695.49,0.368884,0.0775
39910000,8,-5.15854,6691.25,0.540823,0.081
39912000,8,-2.1325,6693.88,0.141959,0.0815
39914000,8,-4.4493,6696.55,0.191954,0.0855
39916000,8,-3.49654,6694.83,1.68064,0.0795
39918000,8,-3.05041,6696.29,0.998451,0.092
39920000,8,-3.58482,6700.81,1.50783,0.0805
39922000,8,-6.0786,6697.09,1.10439,0.089
39924000,8,-5.9701,6700.02,0.190449,0.0765
39926000,7,-6.16659,6654.55,0.443806,0.0785
39928000,7,-5.41866,6655.05,0.472557,0.075
39930000,7,-5.62484,6650.12,0.159056,0.0835
39932000,7,-10.9559,6654.44,1.34764,0.081
39934000,8,-8.46117,6702.04,1.53837,0.0825
39936000,8,-4.79875,6701.76,0.740778,0.081
39938000,8,-4.0815,6698.05,1.32269,0.089
39940000,7,-4.39227,6651.44,1.83913,0.080625
39942000,8,-5.48077,6706.89,0.733993,0.0865
39944000,8,-5.85462,6707.51,0.0765782,0.084
39946000,8,-7.0742,6706.96,0.884034,0.084
39948000,8,-9.07833,6706.89,2.45594,0.0885
39950000,8,-11.3506,6703.91,0.760871,0.08
39952000,8,-6.73303,6702.2,1.61447,0.085
39954000,8,-5.28637,6702.37,0.417217,0.088
39956000,8,-4.51545,6704.25,0.831461,0.087
39958000,8,-2.36291,6707.22,0.268888,0.079
39960000,8,-3.71413,6702.83,2.0843,0.1
39962000,8,-5.90342,6701.89,1.71233,0.077
39964000,8,-6.68259,6705.48,1.95926,0.0815
39966000,8,-3.19266,6704.26,0.215385,0.084
39968000,7,-3.71915,6650.46,0.0274319,0.08175
39970000,7,-5.48591,6652.55,1.78665,0.0765
39972000,7,-7.9655,6653.58,2.91322,0.091
39974000,8,-6.74745,6702.38,2.91195,0.08925
39976000,8,-4.30468,6705.09,1.88357,0.0985
39978000,8,-3.27018,6703.51,0.119814,0.0795
39980000,8,-4.8969,6698.04,0.570364,0.084
39982000,8,-10.9828,6698.4,0.102611,0.0915
39984000,8,-14.6814,6703.71,1.95415,0.086
39986000,8,-6.83245,6707.6,0.160973,0.084
39988000,8,-10.0025,6708.34,0.438607,0.1035
39990000,8,-12.4451,6707.62,2.5587,0.0925
39992000,8,-8.09103,6702.57,0.37491,0.101
39994000,8,-9.78519,6707.38,1.67983,0.0875
39996000,8,-3.52973,6705.32,0.250026,0.087
39998000,8,-3.98921,6706.99,0.431956,0.0945
40000000,8,-10.9018,6708.5,4.85691,0.0995
40002000,8,-9.03434,6707.71,0.598383,0.0835
40004000,8,-10.6449,6702.96,1.36038,0.1005
40006000,8,-10.0229,6704.37,0.561827,0.0885
40008000,8,-11.0816,6704.09,1.097,0.083
40010000,8,-8.92518,6706.48,2.2087,0.0755
40012000,8,-6.40354,6704.79,1.44678,0.0865
40014000,8,-7.25658,6705.91,0.392503,0.0875
40016000,8,-5.4236,6705.87,0.206923,0.083
40018000,8,-5.76877,6706.09,0.0488557,0.0985
40020000,7,-9.03163,6656.21,1.60974,0.0848542
40022000,7,-7.87,6652.81,1.72053,0.0955
