clades,branching_times,stem_ages,species_numbers,,conditioned on number of species,,,,conditioned on mrca,,
74,39.1956476332,30.646510464,10,,-1677.2660195612,0.4430136698,0.3706873428,,-1681.9377801362,0.4311583414,0.3655641227
75,39.1036319382,31.969093797,6,,-1676.2781896041,0.4264956737,0.3617622851,,-1681.9195781448,0.4390481408,0.3708617044
76,39.0982688622,31.969093797,7,,-1676.3952442456,0.4505696039,0.3810825518,,-1681.8294272473,0.433895563,0.3672856966
77,39.0939607492,27.586834756,1,,-1676.2966745323,0.4250941195,0.3602212212,,-1682.7832515929,0.4422803575,0.3711034616
78,39.0331536012,44.280785142,6,,-1676.4230780269,0.4050632724,0.3367317497,,-1682.0945405475,0.4253778452,0.3598037898
79,39.0222079692,37.759467203,2,,-1677.0899241623,0.3917703064,0.3237100939,,-1683.4455889912,0.4032366782,0.3385937951
80,38.9018811072,32.167300916,2,,-1678.2749921895,0.3992546462,0.335557961,,-1682.5732196928,0.4008161831,0.3289978888
81,38.7873013392,32.167300916,5,,-1676.2622702955,0.4086732378,0.3388668825,,-1682.5234629979,0.3984634693,0.3284111151
82,38.5067879202,44.649199386,16,,-1676.0799482745,0.4256094173,0.3596328458,,-1682.7458665074,0.4015422633,0.334360246
83,38.1473766302,24.153703393,120,,-1676.1752214109,0.4277475442,0.3577082447,,-1682.5965631491,0.3958617702,0.3253646245
84,38.1431683802,24.153703393,86,,-1676.2486222567,0.4125973604,0.3421949895,,-1683.2895399905,0.4301564789,0.3569424186
85,37.8660752612,36.575305299,26,,-1675.9139804505,0.4292809539,0.3618691757,,-1683.6724596537,0.4117915465,0.3490024974
86,37.8296050322,33.062130888,4,,-1675.8752801959,0.4401285212,0.3724822939,,-1682.9233530174,0.4012000952,0.3346597911
87,37.7732670222,28.193501704,6,,-1675.886799556,0.4424592022,0.374779312,,-1682.8221726268,0.41076478,0.3377382258
88,37.7667107702,49.141137578,4,,-1677.4217080682,0.4422013968,0.382507424,,-1684.1014975072,0.3978260773,0.3337180123
89,37.7594672172,26.468467214,15,,-1676.0708020328,0.4183648963,0.3499396994,,-1683.3450772458,0.4226756291,0.3488542336
90,37.4530399922,28.54161519,11,,-1676.4968585046,0.4073726513,0.3401316012,,-1681.7770132012,0.4390725756,0.3729991767
91,37.4247233022,25.303140931,6,,-1677.0418296901,0.3946989845,0.3204400463,,-1682.4043354134,0.4625156455,0.3939943065
92,37.4122180482,25.303140931,11,,-1677.02831353,0.3825742436,0.3094673899,,-1681.8580851566,0.4577553472,0.391030655
93,37.2538456202,30.411656268,1,,-1676.827732605,0.4045407027,0.3311546828,,-1681.7574123097,0.4420194041,0.3764667329
94,37.1531306362,27.551344759,3,,-1676.602513799,0.4181503729,0.3459658409,,-1682.1061091866,0.4288140487,0.3639374785
95,37.1418771632,27.551344759,9,,-1676.7866834947,0.4351191604,0.3633413715,,-1681.9375454568,0.4306228659,0.3622254194
96,37.1028866832,42.392366898,32,,-1676.2385666144,0.4361353645,0.3661944448,,-1682.2006390207,0.4316308756,0.3676594574
97,37.0798998182,45.757786277,14,,-1676.6474956337,0.4590739396,0.3992944959,,-1681.9730809832,0.424335601,0.3573118377
98,37.0168578372,26.814662868,3,,-1676.1504367716,0.4574574138,0.395948676,,-1682.0207298674,0.4222053431,0.353454098
99,36.9810120382,30.850544804,9,,-1676.6092640303,0.458913592,0.3894915658,,-1682.1738618026,0.4133254607,0.3452195546
100,36.9209495112,37.016857823,29,,-1675.7706822283,0.4662414952,0.4029261057,,-1684.2113550493,0.4179551188,0.3421221719
101,36.7246841102,27.935386733,42,,-1677.611716863,0.4401362052,0.3805840631,,-1683.6111506176,0.4069438091,0.3432862918
102,36.5753053132,27.935386733,34,,-1675.9012394057,0.4353237833,0.3696839397,,-1682.6444091728,0.3955737145,0.3259478959
103,35.9319832172,24.623595283,12,,-1676.1599421725,0.4311660494,0.3613281536,,-1682.5618642292,0.3970268533,0.3265325431
104,35.8835472032,37.412218034,113,,-1676.0231686456,0.4352711014,0.3663462359,,-1684.3543870427,0.3755384903,0.3077734614
105,35.7580796792,37.424723288,1,,-1676.047578573,0.4308095692,0.3615957713,,-1683.1295323318,0.3831852813,0.3128722236
106,35.7339085752,38.143168366,15,,-1676.7316325557,0.4236165821,0.3512752044,,-1682.9593168777,0.3861804542,0.3156390083
107,35.3917761232,32.966807554,7,,-1675.7743961107,0.4463477542,0.3803674688,,-1682.7468096391,0.4117477865,0.3390030525
108,35.3825678692,25.676243419,2,,-1675.9120011854,0.469278061,0.407525379,,-1682.9614843744,0.4131192548,0.3488478208
109,35.1317292572,28.923581732,24,,-1675.8685805714,0.4600437381,0.3937015552,,-1682.1543986447,0.4135799788,0.3451106252
110,35.0565720522,25.545499429,20,,-1675.9084498888,0.4448601703,0.3771259327,,-1682.3585656888,0.4091123237,0.3415901881
111,35.0406217882,27.224466795,31,,-1678.3329779274,0.4309675059,0.3557094299,,-1682.4833519513,0.4089446375,0.3372736975
112,34.6196811522,27.95507736,4,,-1676.0910105487,0.4218879837,0.3523776213,,-1686.4141176174,0.410977331,0.3522458462
113,34.0419842862,39.103631924,2,,-1676.3112203164,0.4296210809,0.359038359,,-1683.0001022517,0.4322587126,0.3598483417
114,33.8797412532,32.614619249,2,,-1676.1028234878,0.4189629666,0.349530031,,-1682.6714107595,0.4265623891,0.3634949133
115,33.8201582752,32.614619249,29,,-1675.880349657,0.4348948608,0.3688886174,,-1682.2824056461,0.4340599867,0.3638793292
116,33.6143433352,37.773267008,11,,-1677.2324182344,0.4253949345,0.35186146,,-1682.3127156133,0.4273121415,0.356701138
117,33.4741040442,25.601322878,14,,-1677.0552701603,0.4238848408,0.3612138791,,-1684.0578362038,0.4249024921,0.3646174012
118,33.3582420262,28.483963323,4,,-1676.0192329283,0.4221356364,0.3545393479,,-1682.8422441696,0.4578201368,0.3877222689
119,33.3231018752,29.338724112,2,,-1676.0833389525,0.4262117851,0.3603765129,,-1681.6932743149,0.4625509004,0.397689016
120,33.2957982092,34.619681138,9,,-1676.8106972735,0.4096085518,0.3364039307,,-1682.4874142214,0.4674064117,0.399077197
121,33.2388966622,31.883483914,2,,-1676.4758710817,0.4106853364,0.3440463331,,-1682.6923728311,0.4685410322,0.4100872078
122,33.1987729072,30.33335643,1,,-1676.4378013421,0.4073792826,0.3358234825,,-1681.8155314564,0.4625478242,0.3964923122
123,33.1486212722,48.454508431,1,,-1676.2935786585,0.4117178207,0.3442005403,,-1682.0750934835,0.4309646475,0.3662814733
124,33.1243101992,46.529695379,41,,-1677.1129663898,0.3794699854,0.3068418004,,-1683.6896946522,0.4507557156,0.3927448398
125,33.0838521072,26.193457905,1,,-1676.2205233089,0.4104540099,0.3410230642,,-1681.9135733562,0.4686351194,0.4025650728
126,33.0621309022,39.093960735,1,,-1676.1208738666,0.4156606464,0.3472054274,,-1681.8677017594,0.4709879944,0.4098045215
127,32.9668075682,28.770670323,3,,-1676.2510933385,0.4198763141,0.3492668219,,-1683.191371365,0.4588359494,0.4006570226
128,32.6967816792,24.467996085,2,,-1676.2315900084,0.4098948596,0.3407202767,,-1681.7565650647,0.4618557769,0.3991787975
129,32.6146192632,35.382567855,11,,-1676.68148122,0.3931557395,0.3229242288,,-1681.6824472219,0.4701997046,0.4067054779
130,32.2722544492,28.550492788,16,,-1676.8987917466,0.387023986,0.3141136374,,-1684.3085147734,0.4491051129,0.3919537623
131,32.2651663972,28.550492788,6,,-1677.4099377728,0.3811302458,0.3117359894,,-1681.7655756037,0.4508721321,0.3843743633
132,32.2192135582,24.866382363,55,,-1680.1696838534,0.3852696658,0.3040695708,,-1681.967235314,0.4611154019,0.3940883004
133,32.1673009302,24.866382363,217,,-1679.0943712813,0.3683930767,0.2882299851,,-1681.9528791426,0.4585083698,0.3967368999
134,31.9690938112,27.557052966,8,,-1678.6069752327,0.3490182814,0.2716131253,,-1685.8899334712,0.4753113964,0.401649445
135,31.8834839282,25.850201909,7,,-1680.4391640646,0.3385653811,0.2553543611,,-1681.9986653227,0.4791558889,0.4137608753
136,31.8322664042,25.850201909,7,,-1678.593065351,0.3483429997,0.2721499635,,-1682.3280648636,0.4944316127,0.4365616017
137,31.2129229602,41.675640236,8,,-1680.5823511242,0.3554645825,0.2721746614,,-1681.8604820216,0.4803265507,0.419612384
138,31.0749039202,29.873376607,21,,-1677.9292226762,0.3668640438,0.2900635529,,-1681.6747542158,0.4653528785,0.4012824972
139,30.9277410342,29.873376607,46,,-1677.538571999,0.3759575228,0.3002324675,,-1681.8622359051,0.4646974068,0.4030059353
140,30.8505448182,33.47410403,60,,-1681.9151549956,0.3761341084,0.2920705358,,-1682.6495391535,0.477718558,0.4099162229
141,30.7200484412,26.011547923,2,,-1677.3962500805,0.3954270806,0.320011912,,-1682.0065883135,0.4673330716,0.4006847882
142,30.6465104782,26.417650914,5,,-1677.4646863595,0.4098515255,0.3348554648,,-1681.7253287216,0.4777481828,0.4155211493
143,30.4773604732,26.417650914,59,,-1676.5162476765,0.3996534361,0.3282087993,,-1684.0773100089,0.4874848754,0.4332124258
144,30.4757449052,29.869934672,145,,-1676.5896865849,0.3955865712,0.3251858646,,-1682.970616898,0.5013836609,0.4457386223
145,30.4116562822,32.219213544,22,,-1676.5212334332,0.4022091207,0.3303822302,,-1681.9475143775,0.5025228727,0.4414180233
146,30.3933390932,37.079899804,20,,-1677.5421852585,0.4243575731,0.3500798034,,-1682.0274208814,0.4984726922,0.4354808853
147,30.3718007622,24.636087503,89,,-1676.0056120028,0.4233102769,0.3559246382,,-1681.9153256413,0.4999780566,0.4393326625
148,30.3548323782,50.805810214,76,,-1676.4536739959,0.4040864648,0.3357161574,,-1682.7302144856,0.525383374,0.469665299
149,30.3333564442,41.64109173,156,,-1676.4085684852,0.4137211414,0.3473580923,,-1682.7019841196,0.527542249,0.4716904556
150,30.1286304262,32.272254435,307,,-1676.2425883167,0.4439847889,0.3814418411,,-1683.0643568914,0.5394759603,0.4779796095
151,30.0006196432,32.272254435,85,,-1675.9687980942,0.4543911477,0.3917604312,,-1682.7988834011,0.5312521993,0.4757658489
152,29.9334590542,25.787370826,94,,-1676.6204690033,0.4690036541,0.4004782322,,-1683.1693735577,0.5415290468,0.4799608343
153,29.8733766212,24.364736278,44,,-1675.99736414,0.4737639364,0.4080466242,,-1682.5037187477,0.5345034414,0.4759800074
154,29.8699346862,56.308867254,6,,-1676.227501605,0.4699733469,0.4097754704,,-1682.3160628935,0.5226267724,0.4645751
155,29.6898377532,37.253845606,3,,-1676.9577014035,0.4827358464,0.4146922294,,-1682.2311615139,0.5187374275,0.4602188108
156,29.3387241262,29.93345904,25,,-1676.9608914456,0.4685510131,0.4103377035,,-1682.2783913241,0.5149895523,0.4571688089
157,29.2474639732,30.000619629,4,,-1676.4031997256,0.4697701401,0.4019724114,,-1682.9320389063,0.5116699202,0.4467987044
158,29.0687293232,29.068729309,43,,-1676.0504202599,0.4610450118,0.3937614969,,-1681.9821730335,0.4996562744,0.4372389666
159,29.0176498712,24.452078286,6,,-1676.8292801818,0.4624688211,0.4034458266,,-1681.7810687437,0.4808357634,0.4194450644
160,29.0120551802,24.452078286,58,,-1677.1116883913,0.4500796318,0.3905583626,,-1682.3652802338,0.4675915659,0.3996455305
161,28.9235817462,26.376612333,2,,-1678.2282975214,0.468816563,0.3969144852,,-1685.2678007826,0.4851094804,0.4131743269
162,28.8402086352,26.823081742,105,,-1675.8509917064,0.4359860804,0.3696872803,,-1681.9149756957,0.4790717001,0.4141139502
163,28.7706703372,26.89989188,34,,-1676.2128618112,0.4339160012,0.3699897565,,-1681.6845069802,0.4694099762,0.405567625
164,28.5504928022,24.458450048,6,,-1677.7686146411,0.4469538072,0.3739507742,,-1681.8098103799,0.4603442915,0.3941396472
165,28.5416152042,24.458450048,23,,-1675.8056927581,0.4461504336,0.3794521124,,-1681.763142733,0.453778251,0.3903131739
166,28.4839633372,24.333932258,13,,-1676.7364364531,0.4248493396,0.3614708538,,-1682.3855644821,0.4484937249,0.3788918864
167,28.1935017182,33.879741239,4,,-1676.49598495,0.3994396615,0.3297230784,,-1682.2511921161,0.4510317402,0.3820630845
168,28.0132534142,36.724684096,25,,-1677.0771630374,0.4001430925,0.3337801406,,-1683.1138369468,0.4725446713,0.4153803025
169,27.9550773742,25.310920959,26,,-1677.089839924,0.400188715,0.3338745993,,-1681.8699692724,0.4904893833,0.4300306332
170,27.9353867472,30.475744891,73,,-1677.1814648143,0.3898959264,0.3217606072,,-1682.1536632813,0.5150044772,0.4560033259
171,27.5868347702,29.017649857,23,,-1676.8560362524,0.3871632731,0.316039455,,-1682.4166781288,0.519410613,0.4623032404
172,27.5570529802,29.017649857,4,,-1676.9290141696,0.3847907537,0.3123576402,,-1682.243422671,0.5202236838,0.4616086204
173,27.5513447732,33.614343321,12,,-1676.7128236338,0.3958258172,0.3231615817,,-1682.1582819061,0.4987819048,0.4350645321
174,27.4974317852,27.170810735,78,,-1677.0615624117,0.4220820264,0.3591821621,,-1681.9605340582,0.5037408469,0.442904579
175,27.2244668092,36.920949497,8,,-1676.4185121116,0.4193989335,0.3541139137,,-1683.3191920295,0.4967644762,0.4416714819
176,27.1708107492,40.188967211,216,,-1676.3321951558,0.4301658642,0.3661988003,,-1682.2954613152,0.4965150241,0.4318880306
177,26.9725195442,36.981012024,50,,-1678.4802531323,0.4246323488,0.3647778822,,-1683.1205937671,0.4917025152,0.4358842449
178,26.8998918942,27.497431771,15,,-1675.8898217298,0.4477824182,0.380349866,,-1681.6918785537,0.4698455128,0.4069003102
179,26.8230817562,33.820158261,11,,-1676.4448527047,0.4398773801,0.3694305517,,-1682.5885175341,0.4770470678,0.4189751642
180,26.8146628822,27.586834756,6,,-1675.7822603886,0.4490577776,0.3827991873,,-1681.8418833187,0.4678925733,0.4021646044
181,26.6690427662,26.614302925,116,,-1675.7929081492,0.4452848288,0.3800493726,,-1682.0178020331,0.4782676028,0.4126820793
182,26.6143029392,33.062130888,131,,-1675.8741850418,0.4644414367,0.4021051908,,-1681.8319391915,0.4690620555,0.403515677
183,26.5971681812,25.343499406,21,,-1675.8929345314,0.4859461984,0.4243426146,,-1681.7180559885,0.4670332298,0.4043774752
184,26.5165147182,25.343499406,18,,-1676.1689618778,0.4865251915,0.4270077397,,-1683.497364322,0.4526018213,0.3944238712
185,26.4684672282,26.468467214,39,,-1677.9227381113,0.4901800396,0.420848559,,-1681.6754511308,0.4587645317,0.394515084
186,26.4176509282,30.354832364,6,,-1675.8401776013,0.439028496,0.3733387085,,-1681.7807476187,0.4423899259,0.3773810476
187,26.3766123472,26.516514704,27,,-1675.9756704595,0.4271483475,0.3605237987,,-1681.8800675205,0.4331417401,0.365277914
188,26.1934579192,26.516514704,93,,-1676.0854577087,0.4176559991,0.3493955071,,-1685.130302172,0.4321562602,0.3743774389
189,26.0115479372,28.0132534,61,,-1676.8890436461,0.409609926,0.3443508758,,-1681.7945702577,0.4699279395,0.4047366121
190,25.8502019232,28.54161519,4,,-1677.0126699095,0.4006109033,0.3341268978,,-1682.1775764462,0.4714221928,0.4116674055
191,25.8182578632,37.766710756,203,,-1678.2524845585,0.4095750781,0.3329521175,,-1682.2009635829,0.4742216817,0.4074620787
192,25.7873708402,26.814662868,30,,-1678.1283483462,0.4160441437,0.354512524,,-1681.694360817,0.4605484922,0.3955026923
193,25.6762434332,24.623595283,8,,-1676.3141628491,0.4195027122,0.3537639447,,-1682.3945884423,0.4481001757,0.3784408301
194,25.6013228922,35.931983203,67,,-1676.5753186403,0.4060539751,0.3337506361,,-1681.772264843,0.4395818119,0.373224793
195,25.5454994432,24.714156058,38,,-1676.2374249444,0.4364911973,0.3665755796,,-1682.1534970847,0.4315160746,0.3673164763
196,25.3434994202,24.714156058,142,,-1675.8599736312,0.4387954631,0.3733470814,,-1682.560609907,0.4321000687,0.3694651192
197,25.3109209732,31.074903906,36,,-1676.121731392,0.4317060799,0.3620851941,,-1681.9133872978,0.4362436074,0.3680340792
198,25.3031409452,31.074903906,4,,-1675.9938383489,0.4381314764,0.3695037027,,-1682.0838498635,0.4172660003,0.3492594388
199,24.8663823772,25.676243419,55,,-1675.8156806485,0.4398108049,0.373733954,,-1682.3038030822,0.4184723406,0.3527452428
200,24.7141560722,24.538790816,46,,-1676.358567049,0.4312114232,0.3605254318,,-1683.1991778145,0.4025729583,0.3371702539
201,24.6822522082,24.538790816,19,,-1676.812467796,0.4034760104,0.3368382763,,-1686.7989010914,0.4177349496,0.3603136204
202,24.6360875172,24.558565054,8,,-1676.4995944224,0.4060350788,0.3341441064,,-1681.7267468985,0.4453421126,0.3796872414
203,24.6235952972,24.558565054,195,,-1676.688434753,0.4030768053,0.3302575609,,-1682.3270889089,0.4398830548,0.3698783098
204,24.5585650682,27.224466795,26,,-1676.109290028,0.4166318445,0.3475392555,,-1682.3223339033,0.4385490205,0.3684779377
205,24.5387908302,27.95507736,24,,-1676.1272042049,0.4219306107,0.3555488208,,-1682.1689501677,0.4303512367,0.3604822289
206,24.4679960992,33.083852093,7,,-1676.4631095451,0.4240355602,0.3526039187,,-1682.3143008772,0.4162927507,0.350185257
207,24.4584500622,25.601322878,25,,-1676.858286746,0.4265511562,0.354020788,,-1682.4023514831,0.4231007912,0.3586198501
208,24.4520783002,31.883483914,38,,-1676.0470010414,0.4246910435,0.3554851987,,-1682.1836668386,0.4208329771,0.354907318
209,24.3647362922,30.33335643,20,,-1676.059416853,0.421265333,0.3540653214,,-1683.1755868415,0.4058662849,0.3409775801
210,24.3339322722,26.193457905,27,,-1678.7382649162,0.4458702878,0.3711615732,,-1682.4299246546,0.4085213632,0.341331734
211,24.1537034072,28.770670323,14,,-1675.7829484446,0.4472919539,0.3809959833,,-1681.8457055581,0.4324435122,0.3655698534
212,,24.467996085,7,,-1675.8543537343,0.4354523611,0.3690547242,,-1681.9162564128,0.4270727008,0.3596544977
,,,,,-1675.939167883,0.439136888,0.3709190706,,-1682.0185030716,0.4211458682,0.3526696705
,,,,,-1675.9017218142,0.4515966399,0.388278938,,-1681.8201806036,0.437686821,0.3704073209
,,,,,-1675.7779044254,0.4471892262,0.3810134441,,-1681.9011143178,0.428147135,0.3608677182
,,,,,-1675.8727136293,0.4523367511,0.3888984621,,-1681.8214460965,0.4395827613,0.3745275431
,,,,,-1677.4847341076,0.4474684198,0.3750505715,,-1681.7809717281,0.4430305456,0.3781507387
