Genus,included_in_clade,clade,stem_age,#_tips_included,branching_times
Rhinopalpa,35,128,24.467996085,1,32.6967816792
Anartia,36,129,35.382567855,1,32.6146192632
Metamorpha,37,130,28.550492788,4,32.2722544492
Napeocles,157,131,28.550492788,2,32.2651663972
Siproeta,157,132,24.866382363,4,32.2192135582
Vanessula,38,133,24.866382363,22,32.1673009302
Precis,158,134,27.557052966,3,31.9690938112
Hypolimnas,158,135,25.850201909,2,31.8834839282
Yoma,159,136,25.850201909,2,31.8322664042
Protogoniomorpha,159,137,41.675640236,3,31.2129229602
Salamis,160,138,29.873376607,2,31.0749039202
Junonia,160,139,29.873376607,3,30.9277410342
Kallimoides,39,140,33.47410403,2,30.8505448182
Kallima,40,141,26.011547923,2,30.7200484412
Mallika,161,142,26.417650914,2,30.6465104782
Catacroptera,161,143,26.417650914,2,30.4773604732
Doleschallia,41,144,29.869934672,2,30.4757449052
Euphydryas,42,145,32.219213544,3,30.4116562822
Atlantea,162,146,37.079899804,3,30.3933390932
Phystis,162,147,24.636087503,4,30.3718007622
Tegosa,162,148,50.805810214,2,30.3548323782
Dagon,162,149,41.64109173,4,30.3333564442
Janatella,162,150,32.272254435,2,30.1286304262
Eresia,162,151,32.272254435,5,30.0006196432
Telenassa,162,152,25.787370826,3,29.9334590542
Castilia,162,153,24.364736278,2,29.8733766212
Anthanassa,162,154,56.308867254,2,29.8699346862
Phyciodes,162,155,37.253845606,2,29.6898377532
Mazia,162,156,29.93345904,4,29.3387241262
Ortilia,162,157,30.000619629,2,29.2474639732
Antillea,43,158,29.068729309,2,29.0687293232
Higginsius,44,159,24.452078286,2,29.0176498712
Gnathotriche,45,160,24.452078286,2,29.0120551802
Melitaea,46,161,26.376612333,2,28.9235817462
Chlosyne,163,162,26.823081742,12,28.8402086352
Microtia,163,163,26.89989188,3,28.7706703372
Poladryas,163,164,24.458450048,2,28.5504928022
Mimathyma,164,165,24.458450048,4,28.5416152042
Hestinalis,164,166,24.333932258,3,28.4839633372
Sephisa,165,167,33.879741239,2,28.1935017182
Apatura,165,168,36.724684096,3,28.0132534142
Hestina,165,169,25.310920959,3,27.9550773742
Euripus,165,170,30.475744891,4,27.9353867472
Doxocopa,47,171,29.017649857,8,27.5868347702
Eulaceura,48,172,29.017649857,2,27.5570529802
Apaturopsis,166,173,33.614343321,2,27.5513447732
Chitoria,166,174,27.170810735,4,27.4974317852
Asterocampa,166,175,36.920949497,2,27.2244668092
Timelaea,49,176,40.188967211,3,27.1708107492
Sevenia,50,177,36.981012024,3,26.9725195442
Eunica,51,178,27.497431771,2,26.8998918942
Batesia,167,179,33.820158261,2,26.8230817562
Panacea,167,180,27.586834756,3,26.8146628822
Ectima,52,181,26.614302925,2,26.6690427662
Hamadryas,53,182,33.062130888,3,26.6143029392
Myscelia,168,183,25.343499406,2,26.5971681812
Nessaea,168,184,25.343499406,2,26.5165147182
Catonephele,168,185,26.468467214,3,26.4684672282
Pyrrhogyra,54,186,30.354832364,2,26.4176509282
Temenis,169,187,26.516514704,5,26.3766123472
Nica,169,188,26.516514704,4,26.1934579192
Epiphile,169,189,28.0132534,5,26.0115479372
Diaethria,170,190,28.54161519,2,25.8502019232
Callicore,170,191,37.766710756,2,25.8182578632
Haematera,170,192,26.814662868,2,25.7873708402
Lucinia,170,193,24.623595283,2,25.6762434332
Dynamine,55,194,35.931983203,2,25.6013228922
Neptidopsis,171,195,24.714156058,2,25.5454994432
Mesoxantha,171,196,24.714156058,8,25.3434994202
Byblia,171,197,31.074903906,8,25.3109209732
Eurytela,171,198,31.074903906,2,25.3031409452
Mestra,171,199,25.676243419,2,24.8663823772
Archimestra,171,200,24.538790816,7,24.7141560722
Laringa,171,201,24.538790816,3,24.6822522082
Ariadne,171,202,24.558565054,3,24.6360875172
Vila,172,203,24.558565054,2,24.6235952972
Biblis,172,204,27.224466795,2,24.5585650682
Amnosia,56,205,27.95507736,2,24.5387908302
Dichorragia,57,206,33.083852093,2,24.4679960992
Stibochiona,58,207,25.601322878,3,24.4584500622
Pseudergolis,59,208,31.883483914,3,24.4520783002
Calinaga,60,209,30.33335643,4,24.3647362922
Prepona,173,210,26.193457905,4,24.3339322722
Agrias,173,211,28.770670323,2,24.1537034072
Archaeoprepona,61,212,24.467996085,2,
Coenophlebia,62,,,,
Memphis,174,,,,
Anaea,174,,,,
Polygrapha,174,,,,
Fountainea,174,,,,
Consul,63,,,,
Zaretis,175,,,,
Siderone,175,,,,
Hypna,64,,,,
Anaeomorpha,65,,,,
Polyura,176,,,,
Charaxes,176,,,,
Euxanthe,176,,,,
Palla,66,,,,
Prothoe,67,,,,
Agatasa,68,,,,
Lyela,177,,,,
Triphysa,177,,,,
Coenonympha,177,,,,
Oressinoma,69,,,,
Lamprolenis,70,,,,
Altiapa,178,,,,
Hypocysta,178,,,,
Harsiesis,179,,,,
Platypthima,179,,,,
Nesoxenica,71,,,,
Tisiphone,72,,,,
Geitoneura,73,,,,
Argynnina,74,,,,
Oreixenica,75,,,,
Heteronympha,76,,,,
Erebiola,180,,,,
Argyrophenga,180,,,,
Percnodaimon,180,,,,
Dodonidia,77,,,,
Argyronympha,78,,,,
Zipaetis,79,,,,
Orsotriaena,80,,,,
Erites,81,,,,
Ragadia,82,,,,
Henotesia,83,,,,
Bicyclus,84,,,,
Hallelesis,181,,,,
Mycalesis,181,,,,
Neope,85,,,,
Lethe,182,,,,
Satyrodes,182,,,,
Enodia,182,,,,
Rhaphicera,86,,,,
Lasiommata,183,,,,
Pararge,183,,,,
Chonala,184,,,,
Lopinga,184,,,,
Kirinia,87,,,,
Steroma,88,,,,
Moneuptychia,185,,,,
Yphthimoides,185,,,,
Euptychoides,185,,,,
Cissia,89,,,,
Megisto,186,,,,
Palaeonympha,186,,,,
Taydebis,187,,,,
Pareuptychia,187,,,,
Erichthodes,187,,,,
Neonympha,187,,,,
Archeuptychia,187,,,,
Paryphthimoides,188,,,,
Magneuptychia,188,,,,
Caeruleuptychia,188,,,,
Cepheuptychia,188,,,,
Parataygetis,189,,,,
Harjesia,189,,,,
Forsterinaria,189,,,,
Guaianaza,189,,,,
Taygetis,189,,,,
Rareuptychia,190,,,,
Amphidecta,190,,,,
Zischkaia,90,,,,
Pharneuptychia,91,,,,
Chloreuptychia,92,,,,
Pindis,93,,,,
Godartiana,94,,,,
Hermeuptychia,95,,,,
Cyllopsis,96,,,,
Euptychia,97,,,,
Ypthimomorpha,191,,,,
Ypthima,191,,,,
Neocoenyra,192,,,,
Pseudonympha,192,,,,
Cassionympha,98,,,,
Stygionympha,99,,,,
Paralasa,100,,,,
Calisto,101,,,,
Melanargia,102,,,,
Aphantopus,193,,,,
Pyronia,193,,,,
Maniola,103,,,,
Hyponephele,194,,,,
Cercyonis,194,,,,
Erebia,104,,,,
