taxon,n.taxa
Libytheana,13
Ituna,8
Euploea,60
Amauris,46
Danaus,21
Tellervo,9
Thyridia,1
Sais,7
Forbestra,7
Patricia,6
Athyrtis,16
Aeria,8
Methona,7
Megoleria,136
Mcclungia,136

Parthenos,3
Cymothoe,75
Harma,1
Lebadea,3
Neptis,90
Lasippa,17
Pantoporia,27
Pseudacraea,17
Pseudoneptis,1
Athyma,39
Moduza,9
Adelpha,85
Limenitis,23
Euptera,31
Bassarona,7
Dophla,1
Lexias,15
Tanaecia,78
Catuna,5
Bebearia,99
Euphaedra,208
Aterica,2
Euriphene,73
Hamanumida,1
Crenidomimas,1
Euryphura,8

Eulaceura,2
Apatura,5
Apaturopsis,3
Asterocampa,4
Chitoria,6
Doxocopa,15
Euripus,3
Hestina,11
Hestinalis,2
Mimathyma,4
Sephisa,4
Timelaea,8
Batesia,1
Ectima,4
Hamadryas,20
Panacea,3
Archimestra,1
Ariadne,9
Biblis,1
Byblia,2
Eurytela,4
Laringa,2
Mesoxantha,1
Mestra,2
Neptidopsis,2
Vila,3
Callicore,26
Diaethria,45
Haematera,1
Catonephele,11
Dynamine,40
Epiphile,15
Eunica,40
Lucinia,1
Myscelia,10
Nessaea,4
Nica,8
Pyrrhogyra,6
Sevenia,19
Temenis,3
Calinaga,7
Anaea,3
Anaeomorpha,1
Coenophlebia,1
Consul,4
Fountainea,8
Hypna,1
Memphis,63
Polygrapha,4
Siderone,2
Zaretis,6
Euxanthe,6
Charaxes,193
Polyura,17
Palla,4
Agrias,5
Archaeoprepona,9
Prepona,7
Prothoe,4
Agatasa,1
Marpesia,17
Chersonesia,6
Cyrestis,20


Acraea,240
Actinote,128
Altinote,17
Bematistes,25
Cethosia,16
Argynnis,39
Boloria,39
Brenthis,4
Euptoieta,9
Issoria,7
Pardopsis,1
Yramea,6
Agraulis,2
Dione,3
Dryadula,1
Dryas,1
Eueides,12
Heliconius,47
Philaethria,7
Algia,3
Algiachroa,1
Cirrochroa,18
Cupha,9
Lachnoptera,2
Phalanta,8
Terinos,8
Vagrans,3
Vindula,4
Baeotus,4
Pycina,1
Historis,2
Hypolimnas,27
Junonia,51
Precis,16
Protogoniomorpha,4
Salamis,7
Yoma,2
Catacroptera,1
Doleschallia,10
Kallima,10
Mallika,1
Anthanassa,17
Antillea,2
Atlantea,4
Castilia,13
Chlosyne,28
Dagon,3
Eresia,20
Euphydryas,15
Gnathotriche,2
Higginsius,2
Janatella,3
Mazia,1
Melitaea,75
Microtia,4
Ortilia,9
Phyciodes,11
Phystis,1
Poladryas,2
Tegosa,15
Telenassa,8
Rhinopalpa,1
Vanessula,1
Aglais,5
Antanartia,6
Araschnia,7
Colobura,2
Hypanartia,14
Kaniska,1
Mynes,9
Nymphalis,6
Polygonia,13
Smyrna,2
Symbrenthia,13
Tigridia,1
Vanessa,19
Anartia,5
Kallimoides,1
Metamorpha,1
Napeocles,1
Siproeta,3
Amnosia,1
Dichorragia,2
Pseudergolis,2
Stibochiona,2
Aemona,2
Amathusia,13
Amathuxidia,3
Discophora,14
Faunis,12
Hyantis,1
Stichophthalma,9
Taenaris,25
Morphotenaris,1
Thaumantis,4
Thauria,2
Xanthotaenia,1
Zeuxidia,9
Bia,2
Brassolis,4
Caligo,31
Catoblepia,8
Dasyophthalma,4
Dynastor,3
Narope,18
Opoptera,8
Opsiphanes,16
Aeropetes,1
Dira,14
Paralethe,1
Tarsocera,7
Torynesis,5
Elymnias,41
Cithaerias,5
Haetera,2
Pierella,11
Pseudohaetera,2
Cyllogenes,3
Gnophodes,3
Manataria,1
Melanitis,11
Morpho,29
Antirrhea,11
Caerois,2
Altiapa,4
Amphidecta,3
Apexacuta,4
Aphantopus,4
Archeuptychia,5
Arethusana,2
Argynnina,10
Argyronympha,6
Argyrophenga,4
Argyrophorus,4
Auca,4
Berberia,2
Bicyclus,86
Brintesia,1
Caeruleuptychia,21
Calisto,42
Cassionympha,3
Cepheuptychia,5
Cercyonis,4
Chazara,14
Chillanella,1
Chloreuptychia,11
Chonala,9
Cissia,15
Coenonympha,45
Corades,20
Cosmosatyrus,1
Cyllopsis,32
Daedalma,6
Dodonidia,1
Elina,2
Enodia,3
Erebia,113
Erebiola,1
Eretris,15
Erichthodes,5
Erites,5
Etcheverrius,2
Eteona,1
Euptychia,14
Euptychoides,11
Faunula,2
Foetterleia,1
Forsterinaria,14
Geitoneura,3
Godartiana,3
Guaianaza,1
Hallelesis,2
Harjesia,6
Harsiesis,3
Henotesia,120
Hermeuptychia,9
Heteronympha,7
Hipparchia,36
Hypocysta,11
Hyponephele,63
Ianussiusa,1
Idioneurula,2
Karanasa,38
Kirinia,6
Lamprolenis,1
Lasiommata,18
Lasiophila,14
Lethe,126
Lopinga,9
Lyela,3
Lymanopoda,54
Magneuptychia,54
Manerebia,24
Maniola,12
Megisto,5
Melanargia,34
Moneuptychia,5
Mycalesis,114
Mygona,2
Nelia,2
Neocoenyra,15
Neominois,1
Neonympha,3
Neope,26
Nesoxenica,1
Oeneis,38
Oreixenica,6
Oressinoma,2
Orsotriaena,2
Oxeoschistus,8
Palaeonympha,1
Pampasatyrus,20
Panyapedaliodes,13
Parapedaliodes,1
Pararge,3
Paralasa,29
Parataygetis,2
Pareuptychia,13
Paryphthimoides,13
Pedaliodes,182
Percnodaimon,1
Pharneuptychia,6
Pindis,1
Platypthima,8
Praepedaliodes,5
Proboscis,1
Pronophila,17
Proterebia,1
Pseudochazara,31
Pseudomaniola,11
Pseudonympha,15
Punapedaliodes,2
Pyronia,4
Quilaphoetosus,2
Ragadia,16
Rareuptychia,1
Rhaphicera,4
Satyrodes,2
Satyrus,17
Steremnia,7
Steroma,4
Stygionympha,9
Taydebis,1
Taygetis,38
Tisiphone,3
Triphysa,2
Yphthimoides,23
Ypthima,202
Ypthimomorpha,1
Zipaetis,2
Zischkaia,11
Neorina,5
Penthema,5
Ethope,4
Zethera,6
