"tree.rep" "index" "r" "epsilon" "lnLik.part" "tip"
1000 377 0.269879150390625 0.519500732421875 -4.19860385457256 "y"
1000 355 0.192243563756347 0.543480174615979 -6.20125442161175 "y"
1000 224 0.190785106271505 0.547634995728731 -6.26009515955532 "y"
1000 299 0.251057389006019 0.531317963078618 -6.30578839228018 "y"
999 63 0.37554407119751 0.683208751678467 -5.8481138065316 "y"
999 258 0.15162535905838 0.518331569433212 -5.83230312071824 "y"
999 377 0.271625709533691 0.521618461608887 -4.19860374310556 "y"
999 355 0.18907433860004 0.556706735864282 -6.20125444819331 "y"
999 224 0.193966764211655 0.569882756471634 -6.26009508491026 "y"
999 299 0.255037516355515 0.557276302576065 -6.30578873621671 "y"
998 63 0.378345108032227 0.64264030456543 -5.84811380157386 "y"
998 377 0.258893041312695 0.552463211119175 -4.19860373297904 "y"
998 258 0.150921058654785 0.541456890106201 -5.83230321813268 "y"
998 355 0.186899231374264 0.532082828134299 -6.20125438951612 "y"
998 224 0.19268004745245 0.535954137146473 -6.26009531916052 "y"
998 299 0.252529740333557 0.528203463554383 -6.30578855755794 "y"
997 377 0.271723699569702 0.572382140159607 -4.19860420110939 "y"
997 355 0.192401578277349 0.574446029216051 -6.20125445257314 "y"
997 224 0.194072561711073 0.553720311075449 -6.26009503406808 "y"
997 299 0.261151134967804 0.519442212581634 -6.30578861914181 "y"
996 63 0.393552446365357 0.608731985092164 -5.84811400572731 "y"
996 377 0.266669835150242 0.566059508174658 -4.19860371444073 "y"
996 231 0.150396251678467 0.560433530807495 -4.79546814915157 "y"
996 224 0.203350019454956 0.55096344947815 -6.26009604021936 "y"
996 299 0.25996839851141 0.538274712860584 -6.30578842112426 "y"
995 224 0.203961992263794 0.566675710678101 -6.26009504580598 "y"
995 299 0.310935944109224 0.613671565172263 -6.30578839786769 "y"
994 224 0.188052463531494 0.534232568740845 -6.26009562003128 "y"
994 299 0.321290515875444 0.580729322182015 -6.30578845653551 "y"
993 224 0.225304853543639 0.545289563015104 -6.26009506936287 "y"
993 299 0.377207505702972 0.593849766254426 -6.30578898458438 "y"
992 63 0.353277394920588 0.618187587708235 -5.84811381451118 "y"
992 355 0.20179716644343 0.580753499944695 -6.20125453305365 "y"
992 224 0.216026331111789 0.572904959693551 -6.26009594735602 "y"
992 299 0.339590111933649 0.607701973803342 -6.30578845158916 "y"
991 224 0.206034231185913 0.568360567092896 -6.26009527876571 "y"
991 355 0.219388289470226 0.526615578588098 -6.20125447448877 "y"
991 299 0.372111868858337 0.604129338264466 -6.30578839550342 "y"
990 224 0.2040906063281 0.576159859169275 -6.26009504381892 "y"
990 355 0.207901156197477 0.573972800422053 -6.20125444446371 "y"
990 299 0.375854700803757 0.585080009698868 -6.30578859633742 "y"
989 224 0.214322866871953 0.528528433665633 -6.26009559811731 "y"
989 299 0.384397888183594 0.654609680175782 -6.30578839955848 "y"
988 224 0.191059190034866 0.542486327886581 -6.26009502998911 "y"
988 355 0.206425315595698 0.584794077521656 -6.20125445800882 "y"
988 299 0.267021191120148 0.586185902357102 -6.30578850661969 "y"
987 224 0.190810397267342 0.550875815749168 -6.26009504077383 "y"
987 355 0.211733627319336 0.564558792114258 -6.20125468061802 "y"
987 299 0.298092269897461 0.535260581970215 -6.30578837692172 "y"
986 377 0.252607488632202 0.568344163894654 -4.19860370203774 "y"
986 231 0.150375801324844 0.554773417115212 -4.79546814747624 "y"
