"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
88,0.10307624149546,0.150852422012342,0.000508695883148759,0.00579336294608023,0.000303707094976652,0.00738177974989134,-1601.53753247284
89,0.104754001582495,0.151085663681108,0.000789076949852083,0.0133003685932817,0.000289749129607989,0.00736169842853164,-1602.15330679496
90,0.1005939200124,0.150873422685794,0.000637159603284359,0.00336476679231124,0.000218160385759131,0.00535656708749038,-1602.23753354679
91,0.103262553823308,0.150365269436077,0.00148974734934718,0.00442514560341469,0.000335722105293547,0.00781121589415593,-1601.76698172472
92,0.10243059712012,0.156883108866942,0.00341027470481201,0.00743329224011757,0.000445477364322178,0.0129530368441711,-1604.34465664995
93,0.102884294645034,0.154419870926244,0.00182659543004299,0.00231167922709479,0.000255678305798501,0.00502991004181005,-1601.83715160595
94,0.103211319611717,0.161024699022503,0.00209586510988657,0.00187936132194347,0.000274845775912982,0.00372498557876912,-1602.54369755745
95,0.101112042124168,0.153198115258658,0.00184303129626667,0.0142635297848344,0.000167539832333589,0.00436501030767977,-1603.78168665588
96,0.109643491187993,0.1809970719229,0.00228908896475604,0.0274761969603567,0.000621023939110892,0.00404606555235351,-1606.09716276278
97,0.100724677136301,0.167400133405303,0.00336216132153994,0.0113451583801077,0.000534276395904162,0.00838093352812275,-1605.60596642692
98,0.104348642060474,0.142451807406005,0.00537811626608909,0.00525050949735037,0.000187330807547684,0.00274320109967786,-1604.07830307215
99,0.104866353016389,0.160009066309955,0.00194631866417861,0.0096147519533802,0.000552687023568669,0.00618946828681154,-1602.93524414554
100,0.103857227593212,0.150145338062233,0.00215606259620565,0.00800803899596387,0.000436800127973951,0.00906529113404874,-1602.56942970305
101,0.105646062596842,0.156958529534832,0.00293164673607924,0.0132310984616479,0.000301240115229641,0.00331109960560549,-1602.52408170223
102,0.104503343509614,0.162811490699626,0.000385520700028329,0.00343165394331475,0.000226917096645036,0.0209550632221893,-1605.40889704862
103,0.102732909880719,0.155534236337675,0.00142664594458592,0.00441358978560752,0.000262676116362976,0.0246636437848993,-1607.09664940457
104,0.106002459131386,0.180616221343355,0.00065914535511997,0.00694142547565532,0.000211037236101412,0.0114476140884804,-1604.62992889503
105,0.103537289827828,0.145085630985068,0.00107673266907166,0.0106957563661168,0.000461079209417476,0.0081737112153713,-1602.76627564529
106,0.105997233530475,0.159154738626532,0.00240536648194164,0.0105791925830167,0.000680915334385642,0.00497720632527274,-1603.9876990523
107,0.109362773545057,0.160797827435032,0.00484400560920869,0.012678551864924,0.000479868533003004,0.0121068529769083,-1604.2252469035
108,0.104479016992851,0.155512957099686,0.00579761323029873,0.0108492684984131,0.000267684432099274,0.023753456909688,-1608.48583654494
109,0.108242411703512,0.163414402181817,0.00641935782760468,0.00230144845252076,0.000482534019143021,0.00800996705839756,-1603.66047500295
110,0.108182334417534,0.139585840795522,0.00455497988246709,0.00222110687086227,0.00037614766839657,0.00561416608195872,-1602.36921744113
111,0.109557589002347,0.144778020485776,0.00667835095102252,0.00512284140637832,0.000533461549111422,0.00423228834898785,-1603.51195434719
112,0.112179644025676,0.12043522326351,0.0138573758578154,0.00690031345749929,0.000390198694673813,0.00603763840135141,-1607.99858085709
113,0.118564793914928,0.138920925034299,0.0199673738182926,0.00565291051011331,0.00048801163515729,0.00806178116070883,-1606.00911890007
114,0.118947684049006,0.160911983832901,0.0149376071211057,0.00979594785373857,0.000438417670694081,0.0128219521804802,-1606.54013947861
115,0.113900283054316,0.154452829173749,0.0073578670511199,0.000151445620169644,0.000310166986553257,0.0100385865374986,-1604.23926369577
116,0.111708310917185,0.157036813334872,0.00546779331414766,0.00386081165834013,0.000379576466002638,0.00760094264348956,-1603.50910050033
117,0.107996451159958,0.140014422000808,0.00485936592609342,0.00154501890077826,0.000302331596696209,0.00984207422995759,-1602.75619427122
118,0.107670725727008,0.130006889937154,0.00569176037614025,0.0040741491209583,0.000375960740482915,0.00963826676490654,-1604.47879271294
119,0.102546568908978,0.148801521222144,0.00142964599846912,0.00191059376861094,0.000380298154048841,0.00174356548752302,-1603.41800010095
120,0.10098957887329,0.145458624702763,0.000735588441545358,0.0146816932388769,0.000596508294209642,0.0025766085648197,-1604.83525623588
121,0.107756260789978,0.150729073010363,0.00387633172876877,0.00491725374621722,0.00012546296957245,0.00812707580591989,-1603.23283267339
122,0.103363788154397,0.15548183183255,0.00495023249003179,0.0141823050543123,0.000791912848223133,0.00778266426163678,-1606.31201539495
123,0.105396267794686,0.156854039044416,0.00279596354417388,0.0316301362549286,0.00062889254081203,0.00892502616839165,-1605.1465654991
124,0.0996642257348393,0.188874340211552,0.00097832768301768,0.0445362705931074,0.00024283178843392,0.00487899703248305,-1605.27690807658
125,0.10923509028755,0.193743203937087,0.000599288444170149,0.0550005588327108,0.000423359895584744,0.00959857063304419,-1606.54526219582
126,0.102906199130659,0.201100245645961,0.000488284889437037,0.0591838437180813,0.00057779202905771,0.00688371145327647,-1605.16301354737
127,0.109135262078157,0.205733720356117,0.00986827642333992,0.0779391369533006,0.000726531183013144,0.00699737427991422,-1608.17447220285
128,0.113410438345357,0.202068309976613,0.00678388156292258,0.0574934224046611,0.000213818388993833,0.00731755509748598,-1607.32204554804
129,0.10654618594593,0.180931615994406,0.003519377738729,0.0388943199397328,0.000191892205720897,0.00474724786147467,-1604.081005251
130,0.106946123964245,0.173913398112015,0.000126345244116598,0.00348972146095045,0.000319186341967047,0.0065386284583153,-1603.80722758648
131,0.101674602293491,0.153518369701716,0.00299624044051452,0.00783309355795976,0.000857075251061858,0.00577082519900555,-1606.57148406102
132,0.103544781136871,0.1708733754678,0.00106962347759301,0.0620306181498737,0.000336619703811429,0.0153560500815703,-1610.13995235862
133,0.103205741815076,0.230579101243572,0.00171939485090316,0.0924323395943531,0.000140471410840748,0.00359133522383233,-1608.16548069978
134,0.102812710203454,0.222891183074771,0.000235641732491758,0.104127070133737,0.000216411674597776,0.00583343724102538,-1607.54107939296
135,0.102081546133785,0.225309988985442,0.000995257630406526,0.0774928290720688,0.000494495217298395,0.00408151461020603,-1606.94016108505
136,0.10523262199694,0.197505333679844,0.00113271207766239,0.0555607008386096,0.000314165460320023,0.00467340293223747,-1604.32498289398
137,0.104928387858129,0.18276055565104,0.00267494947943889,0.00457766913580922,0.000178447872163459,0.00312010563878533,-1605.87273260332
138,0.108512696264028,0.126986353596779,0.000348376587685649,0.00220147565223926,0.000225039052183446,0.00750623201401395,-1605.08241521902
139,0.100236946085058,0.159177100596958,0.000848306229736986,0.0175588082857554,0.000457601238117808,0.00726130557848541,-1603.58234751581
140,0.105145973639744,0.160069521773319,0.00256958220024456,0.0194368561439467,0.000288105707766604,0.00675770936610871,-1602.48684993496
141,0.104560743028917,0.170751684962309,0.00129293057492075,0.00024736296404725,0.000207834836817305,0.00728640476641474,-1602.96459786231
142,0.106075301485683,0.132039831431924,0.00224522856124838,0.00260708358504549,0.000378317821535171,0.00420177965523587,-1602.83592789986
143,0.102970960963926,0.136459700271381,0.000273706742397351,0.00789573001649451,0.000422313671869587,0.00905426772686097,-1603.27814735057
144,0.103926263710627,0.144769374682043,0.00349231957686089,0.00545405638798939,0.000616200280831397,0.00597325557862088,-1603.70527752333
145,0.104939021189938,0.151815503906988,0.00361110587202707,0.0140039569545029,0.000475742354083042,0.00870227739892084,-1603.27580438323
146,0.105622000255758,0.147419380048263,0.000598587681444223,0.0202331898842348,0.000284824998510859,0.00564423783883283,-1603.23352907009
147,0.10278958985279,0.137038786203462,0.0011206800561603,0.00680728176017325,0.000226382801009274,0.00449787399000169,-1602.8711444635
148,0.105709735501658,0.163342615118256,0.00192226979347223,0.0273369528957628,0.000522728361682638,0.00582421239257349,-1603.33104845289
149,0.105363556372799,0.157346867844761,7.93359150482736e-06,0.00110115262480165,0.000370737472696233,0.0148538305576182,-1603.25365716415
150,0.0982369302253515,0.172678644017432,0.000516657930029264,0.00669118994168307,0.000322358139832552,0.0150192678608105,-1606.10879356872
151,0.107072144694413,0.155960844076558,0.00425835419811374,0.0150373156779398,0.00036127715012334,0.0084774424833481,-1602.79638834779
152,0.109092901739447,0.149486372827257,0.00539816963965699,0.0288632788027112,0.000814439433002808,0.00407120367420355,-1606.71364475066
153,0.109004976678867,0.147265662129305,0.000914212186386319,0.0315279321179147,0.000934061173764776,0.00779758348414161,-1608.64176205232
154,0.107377794122355,0.187306503371014,0.00432517299670537,0.0302987357412665,0.000338768505339151,0.00838505137714664,-1604.29075252055
155,0.107022381492559,0.152243607081744,0.00278000452769251,0.0131724071886731,0.000163918896801577,0.013261573062438,-1604.71219180168
156,0.106271990861322,0.152319784951255,0.00464576105055578,0.0128038712558232,0.000700156554233105,0.0104859670805771,-1604.88956497162
157,0.105440024789948,0.154930876873717,0.00206829150956344,0.0109018814977835,9.12682348003443e-05,0.00500587981345584,-1603.82809639176
158,0.105731716161138,0.143927956193839,0.00424885435848593,0.0091703018689297,7.42531004712838e-05,0.00758906432275812,-1605.35952707554
159,0.109245476027557,0.158427829782344,0.00539527041824982,0.007459665823301,0.000341179900131203,0.0081680940480018,-1602.6807799629
160,0.105922339693464,0.17272881558523,0.00591772920326658,0.0318487958587236,0.000241720940642993,0.00740959651611453,-1604.08499820996
161,0.106378840135358,0.177788070735644,0.00334417061027471,0.0352564882666971,0.000634104181437338,0.0127399792102492,-1605.7331224414
162,0.102246913775901,0.178632616709817,0.00272814259865512,0.0392199577872161,0.00085723713668611,0.0047874769107147,-1607.00135300393
163,0.106071561531192,0.173182222134439,0.000421658263340031,0.0459257432779145,0.000290576235728004,0.00267439380691254,-1604.61269621684
164,0.106443136370783,0.179867853987286,0.00219483228750848,0.0380083662514111,0.00042298409580483,0.00437072271244016,-1603.67851917791
165,0.108481714392367,0.158717909424001,0.00263569250662039,0.00677082902660501,0.00025459379158959,0.00975188165397559,-1602.90644453813
166,0.105845823039095,0.155550829532988,0.00232658767841246,0.00512758296379993,0.000411954141121151,0.00829753958764764,-1602.13822008122
167,0.105016330916608,0.148756394358298,0.00333183024245172,0.00745372981937296,0.000226097621349818,0.00240503476878211,-1603.02184609455
168,0.104620553248156,0.159589679958972,0.000722836989668354,0.00384499365604708,0.000651569982998177,0.0111562029227031,-1603.95490548799
169,0.099392642209515,0.154358538826172,0.00105184894004996,0.0129857910589202,0.000404050709825446,0.00897905116241298,-1604.07655458649
170,0.108985849286897,0.158267235135862,0.00856591880675199,0.00120354199472708,0.00020643611042374,0.01018626905856,-1603.22882054075
171,0.112486599606043,0.153972322387695,0.0100475325234888,3.59181759121008e-05,0.000416711338640535,0.00942890975876576,-1603.49916122489
172,0.111122501696954,0.146173346984919,0.0103527498170144,7.19332102507683e-05,0.00024569504834774,0.00653269488765455,-1602.66857828863
173,0.11247638754425,0.14142224385113,0.0101167075075344,0.0131425914208989,0.000426910781681143,0.0107180546146212,-1605.42884738905
174,0.111612592316796,0.156627826677153,0.00534829632296079,0.00783660207978026,0.000407857198179024,0.00334239034141203,-1604.01277383806
175,0.111387737131298,0.15244838908042,0.0108152771618719,0.0224303577154623,0.000260404682914614,0.00223874053252511,-1605.29356709359
176,0.111335139785742,0.167381743084028,0.00510312912355442,0.00733889447263453,0.000214426636859923,0.0120341697423287,-1604.75947965361
177,0.110195792149182,0.148986616248275,0.00805056198948899,0.00592470194496579,0.000607906546665926,0.00710779578793804,-1604.04729025534
178,0.108410308733774,0.14672133351212,0.00882272636810666,0.00649493596548445,0.000243535098087953,0.0034668460399027,-1603.42012296347
179,0.111634779005553,0.155629418949762,0.00850922810855202,0.0126092265772075,0.000331390888780185,0.0111355878137317,-1604.01233731296
180,0.107261872669083,0.165974440359376,0.0025552882485004,0.0171417274475642,0.000269587505139131,0.00289009214312621,-1603.20960642366
181,0.106808853534499,0.167157145893148,0.000842080199514809,0.0265919197781189,0.000385415998842413,0.00570126845720688,-1603.02421164157
182,0.107443372965843,0.162494382386381,0.00571042746797661,0.000491676954406995,0.000257843385125381,0.0116308587867914,-1603.13839503371
183,0.107386441031497,0.162858680884681,0.00593867615422965,0.00334293904985589,0.000276341247319787,0.00446254876905096,-1602.84205345272
184,0.11231052274416,0.154512969849837,0.0131067314286956,0.00842793469281524,0.000525458295569727,0.00437815953022714,-1604.7905322986
185,0.115096681520556,0.134937343612593,0.0191902172513315,0.00652948354207276,0.000151180561656235,0.00534770268492761,-1606.90998626318
186,0.114795393253375,0.173188490685443,0.0058342938402727,0.0108132626357182,0.000260437013815567,0.00595650225276702,-1606.48666485422
187,0.106253057302689,0.146609558404299,0.00565348731080142,0.0106954708962041,0.000422789241729672,0.00701740568862117,-1603.18878485787
188,0.109137684416211,0.156879133804109,0.0116702763230955,0.0141304861906125,0.000317758688318171,0.00459307149797447,-1604.36895058186
189,0.114327285840758,0.159719946537208,0.0101498848421566,0.0128245293431786,0.000333564765414197,0.00731365744081509,-1603.99930539585
190,0.115318499789578,0.150196823807709,0.0202602192884904,0.0211441568533627,0.000197700769896938,0.0106513865014545,-1608.09328992666
191,0.121401569182076,0.188126809844301,0.0182629728138154,0.0302575693160061,0.000461704165769828,0.018525335812993,-1610.49544791853
192,0.120281612408439,0.184483167709653,0.0183556564377826,0.0137748603565592,0.000361432712369524,0.0137830486942881,-1608.37122500431
193,0.119533622450978,0.139795602195025,0.0198838635985102,0.0172852638875209,0.000589752795220512,0.00497645713011546,-1607.67033434068
194,0.118131490131461,0.16579840358919,0.0192793921745424,0.0480866795973392,0.0006531595222791,0.00439754391210857,-1608.72019944998
195,0.12083256864688,0.187276084149466,0.0217443938899248,0.0593743174620186,0.000704709774515785,0.00698160222275031,-1609.25154250089
196,0.123527934384828,0.19143336907221,0.0225082706485765,0.0590405228805706,0.000877734036607534,0.00682834965313959,-1610.93088326107
197,0.119213655472475,0.182974181841608,0.0241502917699511,0.0488186346440159,4.50203160035162e-05,0.00164193055561533,-1613.78712873758
198,0.126400401647514,0.191714418452732,0.0289702542374205,0.032965111249781,0.000515546382565503,0.00294896530636082,-1610.84511217328
199,0.125816269570618,0.177632305988862,0.0313772170007478,0.0127746497678398,0.000323574118329694,0.0139525712602887,-1609.44519668824
200,0.128143950331859,0.141837374148413,0.0284676382337643,0.00854365919830816,0.000484728589555794,0.00148072613308731,-1609.81145661211
201,0.1265933718115,0.151432228499418,0.0294781566328154,0.015784739435276,0.000120106573090302,0.0148280860792418,-1610.25639880973
202,0.122499152488135,0.159082760012154,0.0211618512018629,0.0128383653800121,0.000457470932847115,0.00872973734251364,-1606.42833187039
203,0.121267943374726,0.147979631811321,0.0227624825199442,0.0143035827784109,0.000416630240227074,0.0103667116380743,-1606.83222145135
204,0.118518953795566,0.146626921819742,0.0219579081618525,0.00516148221023037,0.000262763773540455,0.0115905425276443,-1606.01823010839
205,0.121724345077695,0.161891332400771,0.0231801227475208,0.00727339029107464,0.000258391332262243,0.00960699747987927,-1605.72099382724
206,0.121694320242445,0.162943222318929,0.0196288818652959,0.0111264565137779,0.000227549734481341,0.00904342738821706,-1605.88282942842
207,0.120705588523146,0.168167953152618,0.0200516930515588,0.000589796984198243,0.000194084534611966,0.00800343078689146,-1605.93244585224
208,0.119330999684068,0.153704478796303,0.0166759869031467,0.00918625044549957,0.000290265413844867,0.0103190131060325,-1605.36217617958
209,0.114050135366537,0.161591758185365,0.00794620833074842,0.00078009074823871,0.000260949995115391,0.0113296451971717,-1604.76276542905
210,0.105693915562571,0.144201746569042,0.00764519748424518,0.000554589656600046,0.000520458644929537,0.00465359731776737,-1604.23187575593
211,0.10938233596568,0.145424656793164,0.00219775649110296,0.00781698781349755,0.000471942692411734,0.00381285629005443,-1603.67826784029
212,0.105787181816606,0.144566575693102,0.00077258598941923,0.00371879452486847,0.000527255288005605,0.00817187535888664,-1602.55731659412
213,0.101867732157757,0.156610855360568,0.000184407058514644,0.0102702554480779,0.000502218000289399,0.00403276988273771,-1602.72025528447
214,0.104249698744831,0.14994616404513,0.00197677777717867,0.0083064742432927,0.000422808507296044,0.00544699181870551,-1602.10794748927
215,0.105997710063283,0.15238129851225,0.000719628087464654,0.0097586245047711,0.000672685829774874,0.00568121031202143,-1603.51889135216
216,0.103500281186617,0.165049784944412,0.000276725943120318,0.0288729399961821,0.000684780957648019,0.00596302726552074,-1603.98741057036
217,0.10225967336144,0.173059803627018,0.000815994486968243,0.0254191118531536,0.000272311760556599,0.0062615338047622,-1602.84264376463
218,0.106119451226429,0.158778513487519,2.29937231611619e-05,0.0210542950200194,0.000224071033854984,0.00314220762635294,-1603.19272159672
219,0.101252587950603,0.150733395381799,0.000581291761516319,0.00691316779180672,0.000410085710137894,0.00654607797273159,-1602.24945087338
220,0.106795813633095,0.152769938889203,0.00226121572986726,0.0134639155913986,0.000436217572968601,0.00637594177845702,-1602.55983827196
